y,x
7.24,0.03
6.31,0.05
8.32,0.08
4.79,0.10
5.59,0.13
7.83,0.15
9.90,0.18
5.61,0.21
5.15,0.23
4.78,0.26
7.06,0.28
9.39,0.31
6.80,0.33
4.87,0.36
5.38,0.38
10.72,0.41
11.55,0.44
9.26,0.46
8.10,0.49
12.10,0.51
8.77,0.54
9.61,0.56
6.45,0.59
11.56,0.62
9.93,0.64
7.90,0.67
12.77,0.69
6.74,0.72
8.88,0.74
9.52,0.77
7.23,0.79
13.60,0.82
11.10,0.85
10.64,0.87
9.68,0.90
8.25,0.92
7.99,0.95
10.93,0.97
11.80,1.00
11.47,1.03
8.74,1.05
11.95,1.08
9.82,1.10
14.16,1.13
14.23,1.15
13.34,1.18
15.71,1.21
14.18,1.23
14.38,1.26
11.39,1.28
14.79,1.31
11.90,1.33
14.34,1.36
15.98,1.38
12.18,1.41
12.69,1.44
15.13,1.46
16.23,1.49
12.34,1.51
15.14,1.54
14.85,1.56
13.78,1.59
15.39,1.62
12.76,1.64
12.63,1.67
15.91,1.69
12.98,1.72
15.55,1.74
18.22,1.77
14.09,1.79
17.86,1.82
19.20,1.85
16.11,1.87
15.18,1.90
15.38,1.92
16.82,1.95
16.93,1.97
19.43,2.00
14.44,2.03
17.81,2.05
18.85,2.08
17.05,2.10
14.49,2.13
19.36,2.15
16.60,2.18
19.74,2.21
17.68,2.23
17.85,2.26
19.46,2.28
16.16,2.31
17.93,2.33
15.64,2.36
21.64,2.38
19.08,2.41
16.05,2.44
19.09,2.46
18.70,2.49
22.47,2.51
20.97,2.54
