ImageFileName,reate,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64
WhatsApp_Image_2023-09-08_at_04.41.27_3 (1).jpg,Train,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-de-Villiers-ramp-shot (1).jpg,Train,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
51yt53t775L_1.jpg,Train,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0
cricket-batsman-in-action-BP23WT.jpg,Train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0
WhatsApp_Image_2023-09-08_at_04.17.17 (1).jpg,Train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,2,1,1,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
669e095499b1b8614832a274-cricket-best-buy-cbb-stumps-for-cricket.jpg,Train,0,3,3,3,3,0,3,3,0,3,3,3,3,0,3,3,0,3,3,3,0,0,3,3,0,3,3,3,3,0,3,0,0,3,3,3,0,0,3,3,0,3,3,3,0,0,3,3,0,3,3,3,0,0,3,3,0,3,3,3,0,0,3,3
3CAS5Setof3SpringPlasticStumpswithBase_Bails.jpg,Train,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0
dsc-others-default-title-dsc-spring-wooden-cricket-stumps-full-size-37989488197812_1800x1800 (1).jpg,Train,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0
annotated_images - 2025-11-15T221726.166.jpg,Train,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
cricket-background-4846mlebco6c8psc.jpg,Train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
